date,avg_temperature,max_temperature,min_temperature,avg_humidity,max_wind_speed,total_precipitation
2026-09-26,26.808333333333334,31.4,24.4,88.875,10.5,18.3
2026-09-27,26.662499999999998,31.5,24.4,88.375,15.5,6.6000000000000005
2026-09-28,26.395833333333332,31.1,24.1,89.79166666666667,14.8,10.2
2026-09-29,27.483333333333334,32.6,24.2,85.45833333333333,6.9,7.5
2026-09-30,26.6875,32.0,24.0,88.20833333333333,7.1,6.9
2026-10-01,27.245833333333334,32.2,23.9,87.16666666666667,6.4,3.1
2026-10-02,26.958333333333332,32.3,23.7,86.625,4.6,4.2
